timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2024-01-01T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Active mode. 1% risk enforced. EMA20/50 alignment and neutral MACD crossover detected. Decisive entry with tight protection.,0.75,EMA_alignment;neutral_MACD,indicator_alignment,trend_following
2024-01-02T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA alignment and RSI level suggest potential for trend continuation.,0.75,EMA_alignment;RSI_level,trend_continuation,trend_following
2024-01-03T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position due to existing trend strength and proximity to support levels. EMA alignment and RSI levels suggest potential for mean reversion.,0.75,EMA_alignment;RSI_oversold,trend_following,trend_following;mean_reversion
2024-01-04T00:00:00+00:00,GOLD,close,"Active-Guardian: Current RSI14=10.54 indicates oversold conditions, but MACD crossover is bearish and Trend Strength Score is 0.00. Given the current market state and existing position, closing the position to limit further losses is prudent.",0.4,RSI_oversold;MACD_bearish,indicator_crossover,mean_reversion;trend_following
2024-01-05T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. RSI14=18.86 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential for mean reversion. Entry justified with tight stop loss.,0.8,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2024-01-08T00:00:00+00:00,GOLD,reject,"Active-Guardian: Current RSI14=10.54 indicates oversold conditions, but MACD crossover is bearish, Trend Strength Score is -0.59, and recent trades have been unprofitable. Given the current market state, rejecting new entries is prudent to avoid further losses.",0.2,,,trend_following;mean_reversion;risk_management
2024-01-09T00:00:00+00:00,GOLD,reject,"Active-Guardian: Current RSI14=14.56 indicates extremely oversold conditions, but MACD crossover is bearish and Trend Strength Score is -0.52. Given the current market state and losing streak, being more selective and widening stops is prudent. Rejecting entry to limit further losses.",0.2,oversold_RSI;bearish_MACD,none,mean_reversion;trend_following
2024-01-10T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. RSI14=12.43 indicates oversold conditions. EMA20 and EMA50 alignment with price rejection at EMA200 suggests a potential bounce. MACD crossover is bearish, but Trend Strength Score is -0.49, indicating a possible reversal.",0.8,RSI_oversold;EMA_rejection;Volatility_stable,support_bounce;mean_reversion,mean_reversion;trend_following
2024-01-11T00:00:00+00:00,GOLD,hold,"Active-Guardian: Current market state indicates a bearish trend with RSI14=21.77 and MACD crossover bearish. However, the existing long position has a positive unrealized PnL. Holding the position with a tight stop loss to limit further losses is prudent.",0.8,EMA_alignment;RSI_oversold;MACD_crossover,trend_following,trend_following;mean_reversion
2024-01-12T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. EMA20/50 alignment and RSI14=48.02 suggest a potential long entry. Trend Strength Score is -0.04, indicating a weak trend. Given the current market state and volatility, a long entry with tight protection is justified.",0.82,EMA_alignment;RSI_mean_reversion;Volatility_stable,indicator_crossover;support_bounce,trend_following;mean_reversion
